공고명,회사명,대표자명,자본금,업종,주요사업내용,회사주소,모집직종,관련직종,직무내용,접수마감일,고용형태,모집인원,장애인채용인원,임금조건,경력조건,학력,키워드,외국어능력,전공,자격면허,병역특례채용희망,컴퓨터활용능력,우대조건,고용허가제,작업환경,기타우대사항,전형방법,접수방법,제출서류준비물,제출서류양식첨부,근무예정지,인근전철역,버스노선,근무형태,근무시간,연금사회보험,퇴직금지급방법,복리후생,장애인편의시설
"[주식회사 제이알더블유]온더보더 홀/주방 직원 모집
			
		",주식회사 제이알더블유,박연수,-,서양식음식점업,멕시칸레스토랑,"(06584)서울특별시서초구방배로42길61,지하2층(방배동)",주방보조원(일반음식점),-,"홀서비스/주방보조장애인사원정규직채용근무시간10-17,13-22,16-22시간협의가능휴게1시간",채용시까지,기간의정함이없는근로계약,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"시급9,620원이상~11,010원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:5~20Kg의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:듣고말하기중요시력:일상적인활동이가능한정도손작업:작은물품의조립작업양손사용:양손으로작업,-,"서류,면접",방문,"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시서초구방배로42길61,지하2층(방배동)서울특별시서초구방배로42길61,지하2층(방배동)",-,-,주4일근무,※상세근무시간11-20,국민연금고용보험산재보험의료보험,퇴직금,-,"장애인용주차장,장애인용승강기,건물내부경사로,장애인용화장실"
"[건강한사람들 주식회사]음료 생산직 채용(장애인만 채용, 이메일 접수)
			
		",건강한사람들 주식회사,김승언,300백만원,기타비알코올음료제조업,"17차,음료제조","(32208)충청남도홍성군결성면만해로391,건강한사람들1사업장",음료제조기계조작원,-,"-직무:이유식,음료류생산-급여:기본급2,193,400원(시급:10,495원),상여금200%별도-근무시간:주간근무(08:00~17:00)-접수방법:이메일로만지원가능(shk@kead.or.kr)-복리후생:기숙사,통근버스,중식지원,교통비지원(월6만원),건강검진,대학교학자금전액지원",2023년09월08일마감시간:24시(D-90),기간의정함이없는근로계약,"5명지원현황:총4명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:4명)",5명,"시급10,480원이상~10,500원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,-,"워크투게더,기타(shk@kead.or.kr)",※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"충청남도홍성군결성면만해로391,건강한사람들(주)충청남도홍성군결성면만해로391,건강한사람들(주)",-,-,주5일근무,※상세근무시간08:00~17:00주소정근로시간:40시간,-,퇴직금,-,-
"[EM실천]한글편집 디자이너 신입(장애인고용)
			
		",EM실천,김영환,-,기타인쇄업,"인쇄,복사,현수막,우편발송대행사","(153774)서울특별시금천구서부샛길648,대륭테크노타워6차1004호(가산동)",책·인쇄물·출판디자이너,-,"한글편집디자이너(1명)-한글프로그램을활용하여인쇄물디자인업무-근무시간:09:00~18:00(8시간),주5일*신입및배우실분도환영",2023년06월22일마감시간:24시(D-12),기간의정함이있는근로계약12개월/계약기간만료후상용직전환검토,"1명지원현황:총2명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:2명)",1명,"월급2,020,000원이상~2,050,000원이하기본급기준:0%면접후결정가능",신입,학력무관,[인쇄물디자이너][한글편집디자이너][편집][책자디자인][디자인],-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접","워크투게더,이메일(개인회원로그인후조회가능)","이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시금천구서부샛길648,대륭테크노타워6차1004호(가산동)서울특별시금천구서부샛길648,대륭테크노타워6차1004호(가산동)",수도권7호선가산디지털단지6번출구800M,-,주5일근무,미제공,09:00~18:00휴게시간(12:00~13:00)주소정근로시간:40시간,국민연금고용보험산재보험의료보험,퇴직금,-
"[코오롱엘에스아이주식회사]경주 코오롱호텔 조경보조업무 직원 구인
			
		",코오롱엘에스아이주식회사,장재혁,-,호텔업,코로롱LSI(주)호텔사업부:음숙업(호,"(38126)경상북도경주시불국로289-17,경주코오롱호텔",조경식재원,환경미화원,"*경주코오롱호텔조경보조업무및미화(장애인채용우대)-호텔내정원조경보조업무및환경관리-단순노무업무,장애인채용우대-관련유경험자우대*근무형태-주5일,09:00~18:00(휴게시간12:00~13:00)-중식제공,업무능력별성과급제공-개인연차및관련사내직원복지제공*밝고적극적인분이시라면누구든지환영합니다.많은지원부탁드립니다.",2023년06월23일마감시간:09시(D-13),기간의정함이없는근로계약,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"월급2,010,580원이상기본급기준:0%",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:실외드는힘:5~20Kg의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:간단한듣고말하기필요시력:일상적인활동이가능한정도손작업:선택안함.양손사용:양손으로작업,-,"서류,면접","방문,우편,팩스,워크투게더,이메일(개인회원로그인후조회가능)","이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"경상북도경주시불국로289-17,경주코오롱호텔경상북도경주시불국로289-17,경주코오롱호텔",-,-,주5일근무,근무시간협의가능09:00~18:00휴게시간(12:00~13:00)주소정근로시간:40시간,국민연금고용보험산재보험의료보험,퇴직금,-,-
"[(주)동성모터스](장애인만 채용) BMW 창원 및 진주 서비스센터 미화직 채용
			
		",(주)동성모터스,석상우,-,자동차전문수리업,자동차판매및수리,(48095)부산광역시해운대구해운대해변로299(중동),"건물청소원(공공건물,아파트,사무실,병원,상가,공장등)",-,"-직무:사무실및공용공간의청결유지등-배치매장:마산서비스센터(봉양로163)1명,미니전시장(봉양로123)1명,진주서비스센터(진주내동면내동로123)1명-시간:주5일,10:00~17:00-급여:최저시급-형태:1년계약후연장검토",2023년06월30일마감시간:24시(D-20),기간의정함이있는근로계약12개월,"3명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",3명,"시급9,620원이상~9,620원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접","방문,우편","이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"경상남도창원시마산회원구봉양로163,(봉암동)경상남도창원시마산회원구봉양로163,(봉암동)",-,-,주5일근무,※상세근무시간10:00-17:00주소정근로시간:30시간,-,퇴직금,-,-
"[주식회사잡스랩][중증장애인] 헬스키퍼(안마사) 구인
			
		",주식회사잡스랩,박경훈,-,사업시설유지ㆍ관리서비스업,건물및시설관리용욕사업/건축물,"(06732)서울특별시서초구서운로19,1107호(서초동,서초월드오피스텔)",안마사,-,"※모집직종:시각장애인헬스키퍼(안마사)→양재에위치한사무실내에서잡스랩직원들을대상으로안마업무※근무시간:14:00~18:00/주5일,일4시간(주말,공휴일휴무)※급여:월1,900,000원(세전)※복지:4대보험,퇴직금,연월차※고용형태:계약직(1년계약후평가에따라연장가능)",채용시까지,기간의정함이있는근로계약12개월,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명중증장애인채용우대,"월급1,900,000원이상~1,900,000원이하기본급기준:0%",경력(최소1년0개월이상)우대,학력무관,[안마사][시각장애인][장애인][헬스키퍼][안마],-,-,-,비희망,-,-,-,작업장소:실내드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접",워크투게더,"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시서초구서운로19,1107호(서초동,서초월드오피스텔)서울특별시서초구서운로19,1107호(서초동,서초월드오피스텔)",-,-,주5일근무,14:00~18:00주소정근로시간:20시간,국민연금고용보험산재보험의료보험,퇴직금,-,"장애인용주차장,건물내부경사로,장애인용화장실"
"[송북초등학교][장애인만 채용] 교육공무직원(미화원) 채용 공고
			
		",송북초등학교,황금숙,-,기타일반공공행정,행정기관,(561816)전라북도전주시덕진구천마산로16(송천동1가),환경미화원,-,"-채용분야:미화원(건물전체청결유지,화장실,복도,게단청소,기타학교장이지정하는업무)-계약기간:채용시부터~정년까지(만65세)-근무시간:주25시간,1일5시간(9~15시,휴게시간12~13시)(방학중근무는근로계획서에의함)-보수:기본급1,198,750원,급식비140,000원-응시연령:공고일현재만55세이상~만65세미만-거주지제한:전라북도전주시내-원서접수기간:2023년6월8일목요일~6월15일목요일12시까지-접수장소:한국장애인고용공단전북지사취업지원부임경희대리(063-240-2426)-접수방법:인편제출(대리접수및우편접수불가,본인신분증지참)-제출서류:응시원서1부,주민등록초본1부(공고일이후발급분일것,응시자과거주소변동사항이확인가능할것,주민등록번호뒷자리는미표시로발급할것),장애인복지카드1부(원본지참),경력증명서(해당자에한함)*자세한공고문및응시원서서류양식은""워크투게더>채용정보>간편우리지사채용정보(검색키워드:전주송북초등학교)""에게시된자료를다운로드받아활용*추가궁금하신점은063-240-2426임경희대리로문의부탁드립니다.",2023년06월15일마감시간:24시(D-5),기간의정함이없는근로계약,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"시급9,620원이상~9,620원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접",기타(내방접수),기타(워크투게더간편우리지사채용정보참고)※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"전라북도전주시덕진구천마산로16,(송천동1가)전라북도전주시덕진구천마산로16,(송천동1가)",-,-,주5일근무,※상세근무시간9~15시주소정근로시간:25시간,-,퇴직연금,-,-
"[삼성웰스토리(주)]한미약품 구내식당 조리보조원 채용_dmpark@kead.or.kr로 이력서 송부
			
		",삼성웰스토리(주),정금용,-,간이음식포장판매전문점,"식자재,단체급식",(13638)경기도성남시분당구구미로8(구미동),단체급식보조원,-,"[장애인만채용]삼성웰스토리소속근로자한미약품구내식당조리보조원채용_dmpark@kead.or.kr로이력서송부/'워크넷지원하기'불가-주방보조(식기세척,홀클리닝,배식등)",2023년06월14일마감시간:24시(D-4),기간의정함이있는근로계약12개월,"4명지원현황:총1명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:1명)",4명,"시급9,620원이상~9,620원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:5~20Kg의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:듣고말하기중요시력:일상적인활동이가능한정도손작업:작은물품의조립작업양손사용:양손으로작업,-,"서류,면접","방문,워크투게더",이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"경기도화성시팔탄면무하로214,한미약품직원식당경기도화성시팔탄면무하로214,한미약품직원식당",-,-,주5일근무,※상세근무시간8시간/6시간/4시간선택가능주소정근로시간:40시간,-,퇴직금,-,"장애인용주차장,장애인용승강기,건물내부경사로,장애인용화장실"
"[자윤보호작업장][모집]장애인보호작업장 근로장애인 채용(보건용마스크 생산 및 포장)
			
		",자윤보호작업장,정은아,-,합성섬유제조업,보건용마스크생산,"(54046)전라북도군산시성산면동군산로122,1호,자윤보호작업장",제조단순종사원,-,"[장애인만채용]-직무:마스크제조및포장,원자재정돈-근무지:군산시성산면동군산로122-1호자윤보호작업장(성산농공단지)-근무시간:하루4시간근무오전프로그램시간:10:00~12:00(보호작업장프로그램2시간필수)12:00~13:00점심식사제공13:00~17:00오후근무/30분휴게시간※(주간활동서비스프로그램참여또는보호작업장프로그램참여시간에해당하는급여는미지급)※-접수이메일:jayoon8161@daum.net",2023년06월30일마감시간:24시(D-20),기간의정함이없는근로계약(시간(선택)제),"3명지원현황:총1명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:1명)",3명중증장애인채용우대,"시급9,620원이상~9,620원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:5Kg이내의물건을다룸서거나걷기:일부서서하는일듣고말하기:간단한듣고말하기필요시력:일상적인활동이가능한정도손작업:작은물품의조립작업양손사용:양손으로작업,-,"서류,면접","우편,팩스,워크투게더,이메일(개인회원로그인후조회가능)","이력서,기타(장애인등록증or장애인복지카드사본첨부)※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"전라북도군산시성산면동군산로122,1호,자윤보호작업장전라북도군산시성산면동군산로122,1호,자윤보호작업장",-,-,주5일근무,1식,근무시간협의가능09:00~18:00주소정근로시간:20시간,국민연금고용보험산재보험의료보험,퇴직금,통근버스
"[구로구립장애인보호작업장]강남경찰서 지역관서 3개소 청소원 모집
			
		",구로구립장애인보호작업장,이성미,-,"소독,구충및방제서비스업","건물청소,냉난방기청소,방역소독,","(08263)서울특별시구로구경인로21,구로구립장애인보호작업장(온수동)","건물청소원(공공건물,아파트,사무실,병원,상가,공장등)",-,"강남경찰서지역관서3개소청소용역1.지역관서1)역삼지구대(2시간)2)논현1파출소(2시간)3)논현2파출소(1시간)2.근로시간-각개소별주3회,1일5시간,월79시간3.급여조건-시급\10,578원,월\835,662원(교통비별도)4.모집인원-1명",채용시까지,기간의정함이있는근로계약6개월,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명중증장애인채용우대,"월급835,662원이상기본급기준:0%",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접","방문,우편,팩스,워크투게더,이메일(개인회원로그인후조회가능)",이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,서울특별시강남구언주로108길20(역삼동)서울특별시강남구언주로108길20(역삼동),-,-,주3일근무,중식비지급,근무시간협의가능09:00~14:00휴게시간(12:00~13:00)주소정근로시간:15시간,국민연금고용보험산재보험의료보험,해당없음,-
"[구로구립장애인보호작업장]강북경찰서 지역관서 3개소 청소원 모집
			
		",구로구립장애인보호작업장,이성미,-,"소독,구충및방제서비스업","건물청소,냉난방기청소,방역소독,","(08263)서울특별시구로구경인로21,구로구립장애인보호작업장(온수동)",청소원,"건물청소원(공공건물,아파트,사무실,병원,상가,공장등)","강북경찰서지역관서3개소청소용역1.지역관서1)솔샘지구대2)번3동지구대3)교통센터2.근로시간-주2회,1일6시간,월52.15시간3.급여조건-시급\9,620원,월\501,690원(교통비별도)4.모집인원-1명",채용시까지,기간의정함이있는근로계약6개월,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명중증장애인채용우대,"시급9,620원이상",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접","방문,우편,팩스,워크투게더,이메일(개인회원로그인후조회가능)",이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,서울특별시강북구오현로4(미아동)서울특별시강북구오현로4(미아동),-,-,주5일근무,미제공,근무시간협의가능07:00~12:00휴게시간(12:00~13:00),고용보험산재보험,해당없음,-
"[주식회사 벗이(Versi)][장애인만 채용] 벗이 미술관 내 레스토랑 업무보조 구인
			
		",주식회사 벗이(Versi),박효서,-,일반병원,"상품종합도매업,출판,미술품판매및","(17162)경기도용인시처인구양지면학촌로53번길4,1층",주방보조원(일반음식점),-,"[장애인만채용]-벗이미술관레스토랑주방보조가능자-주4일근무(주말포함),09:00-18:00(휴게시간:1시간))-성실하고인성좋은중증장애인구인희망",2023년08월07일마감시간:24시(D-58),기간의정함이있는근로계약12개월/계약기간만료후상용직전환검토,"1명지원현황:총1명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:1명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명중증장애인채용우대,"월급1,664,990원이상~1,664,990원이하:0%",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:듣고말하기중요시력:일상적인활동이가능한정도손작업:선택안함.양손사용:양손으로작업,-,"서류,면접",기타(smj5377@versi.co.kr),이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"경기도용인시처인구양지면학촌로53번길4,벗이미술관경기도용인시처인구양지면학촌로53번길4,벗이미술관",-,-,주4일근무,1식,※상세근무시간주4일(주말포함)09:00~18:00휴게시간:1시간주소정근로시간:32시간,국민연금고용보험산재보험의료보험,퇴직금,-
"[롯데지알에스 주식회사][장애인만 채용] 롯데GRS 사무보조원 채용
			
		",롯데지알에스 주식회사,차우철,"1,260백만원","피자,햄버거,샌드위치및유사음식점업","음식조리,판매","(08606)서울특별시금천구벚꽃로104,금천롯데타워(독산동)",사무보조원(일반사업체),-,"1.사업체명:롯데GRS주식회사2.근무지:서울금천구벚꽃로104롯데GRS본사(독산역도보5분거리)3.모집직무:부서내사무보조업무(포토샵사용가능자선호)4.모집기간:~6.16.(금)자정5.근무시간:주5일,13:00~18:00(4.5시간근무/30분휴게)*근무일및근무시간협의가능6.고용형태:4개월계약직7.급여:시급9,620원8.제출서류:이력서및자기소개서(자유양식)(워크투게더입사지원은불가능하므로반드시이메일접수)9.제출처(이력서혹은메일본문에본인(장애내용,복용약물등)에대한내용기재)-이메일:pbl8124@kead.or.kr(메일제목:롯데GRS_이름)10.문의:02-6004-1061",2023년06월16일마감시간:24시(D-6),기간의정함이있는근로계약24개월,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"시급9,620원이상~9,620원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:5~20Kg의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:간단한듣고말하기필요시력:일상적인활동이가능한정도손작업:큰물품의조립작업양손사용:양손으로작업,-,"서류,면접",기타(메일pbl8124@kead.or.kr),"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시금천구벚꽃로104,(독산동)서울특별시금천구벚꽃로104,(독산동)",-,-,주5일근무,※상세근무시간13:00~18:00주소정근로시간:25시간,-,퇴직금,-,-
"[대구지방고용노동청]대구지방노동청 공무직근로자(통계조사관_장애인) 채용 공고
			
		",대구지방고용노동청,김규석,-,노동행정,노동행정기관,"(42140)대구광역시수성구동대구로231,3층고용관리과",통계사무원,공공행정사무원,"▶담당업무:▸지역별사업체노동력조사,기업체노동비용조사현장조사수행,조사표입력,내용검토등▶채용인원:장애인전형1명▶채용기간:2023.7.3.~기간의정함이없음▶채용예정지:대구지방고용노동청(별관)지역협력과(대구광역시수성구동대구로401[범어동],삼성화재대구사옥2층)▶입사지원방법:워크넷(e-채용마당)온라인접수▶접수기간:2023.6.2.~2023.6.14.18:00까지▶해당채용관련더자세한사항은아래첨부된채용공고문을참고하십시오.▶접수처:워크넷(http://www.work.go.kr)e-채용마당일자리링크:https://www.work.go.kr/empInfo/empInfoSrch/list/retriveEnEmpDtlView.do?easyWantedRegNo=390314&recordCountPerPage=10&schCoType=noCom&schDisp=EMPN",2023년06월14일마감시간:18시(D-4),기간의정함이없는근로계약/대체인력채용,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"월급2,125,690원이상~2,125,690원이하기본급기준:0%",관계없음,학력무관,-,-,-,컴퓨터활용능력2급(우대)컴퓨터활용능력1급(우대)기타:컴퓨터활용능력자격증,비희망,"문서작성(워드프로세스활용),표계산(스프레드시트활용)",보훈취업지원대상자,-,작업장소:실내ㆍ외드는힘:선택안함.서거나걷기:일부서서하는일듣고말하기:듣고말하기중요시력:일상적인활동이가능한정도손작업:선택안함.양손사용:선택안함.,-,"서류,면접",기타(워크투게더(e-채용마당)온라인접수),"이력서,자기소개서,기타(서류접수시제출NCS직무능력기반지원서,경험·경력기술서,자기소개서각1부*개인정보및고유식별정보활용동의서**)※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",[기타서류양식]2023년공무직통계조사관채용공고.hwp,"대구광역시수성구동대구로231,동대구로401삼성화재대구사옥2층대구광역시수성구동대구로231,동대구로401삼성화재대구사옥2층",-,-,주5일근무,중식비지급,09:00~18:00주소정근로시간:40시간,국민연금고용보험산재보험의료보험,퇴직금,-
"[주식회사 벗이(Versi)][장애인만 채용] 용인정신병원 미화업무 구인
			
		",주식회사 벗이(Versi),박효서,-,일반병원,"상품종합도매업,출판,미술품판매및","(17162)경기도용인시처인구양지면학촌로53번길4,1층",청소원,-,"[장애인만채용]-용인정신병원미화업무-주4일근무(주말포함),08:00-14:00(휴게시간:1시간))-정신장애인(중증)및지적장애인채용희망",2023년08월07일마감시간:24시(D-58),기간의정함이있는근로계약(시간(선택)제)12개월/계약기간만료후상용직전환검토,"1명지원현황:총1명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:1명)",1명중증장애인채용우대,"월급1,036,880원이상~1,036,880원이하:0%",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:실내드는힘:5Kg이내의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:듣고말하기중요시력:일상적인활동이가능한정도손작업:선택안함.양손사용:양손으로작업,-,"서류,면접","워크투게더,기타(smj5377@versi.co.kr)",이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,경기도용인시기흥구중부대로940(상하동)경기도용인시기흥구중부대로940(상하동),-,-,주4일근무,1식,※상세근무시간주4일(주말포함)08:00~14:00휴게시간:1시간휴게시간(12:00~13:00)주소정근로시간:20시간,국민연금고용보험산재보험의료보험,퇴직금,-
