날짜,사건,추가 정보,기간
10500 BC,대형 포유류 멸종,"신생대의 홍적세 말, 즉 지금으로부터 1만 2,000년 전과 1만 년 전 사이에 지구 상의 식물 군집은 빙하와 함께 큰 변화를 겪었다. 북아메리카에서는 대형 포유류 57종 그리고 남아메리카에서도 그 이상의 포유류가 멸종되었다. 오스트레일리아에서는 대형 동물 50종 중 캥거루 4종만 남고 46종이 모두 전멸되었다. 매머드와 마스토돈이 사라진 것도 홍적세 말이다.",0
10000 BC,염소 가축화,"염소(domestic goat)는 들염소를 가축화한 동물로서, 가축이 된 지 수천년이 지났으나 산악지대에 서식하던 야생의 성질은 그대로 남아 있다. 특히 혹한이나 혹서의 기후에서도 잘 자라며, 질병에 걸리는 일이 적고 기후 풍토에 적응성이 강한 강건한 체질이다. 또 식성이 까다롭지 않아 거친 먹이에도 잘 견딘다. 활발하며, 몸집도 작아 사육하기가 쉬운 편이다.",0
9700 BC,신석기 혁명,"신석기 문화(新石器文化)란 석기 시대 후반의 문화로서 식량 생산 단계에 이른 시대를 말한다. 인류 사회는 구석기 시대의 채집 경제로부터 신석기 시대의 생산경제로 발전하는데, 이러한 생산 경제로의 전환은 인류 문화사상 하나의 전기를 가져온 사건이다. 그 때문에 이러한 전환을 신석기 혁명(Neolithic Revolution)이라고도 한다.",0
9650 BC,홀로세,"홀로세(Holocene)는 약 1만년 전부터 현재까지의 지질 시대를 말한다. 충적세(沖積世) 또는 현세(現世)라고도 부른다. 플라이스토세 빙하가 물러나면서부터 시작된 시기로, 신생대 제4기의 2번째 시기이다.",0
9600 BC,괴베클리 테페,"가장 오래된 기념비적인 거석 문화로 터키 남동부 샤늘르우르파 외렌직(Örencik)에 있는 신석기시대 유적이다. 1963년 처음 발견되었고, 1994년부터 2014년까지 발굴 조사가 이루어졌다.",9600 BC ~ 8200 BC
9000 BC,양 가축화,"양의 가축화는 기원전 11,000년에서 기원전 9,000년 사이 까지 거슬러 올라간다. 고대 메소포타미아에서 야생 무플런을 길들여 가축화 한 것으로 추측되고 있다. 양은 인간이 처음으로 가축화한 동물들 가운데 하나로 주로 고기, 우유, 모피 등을 위해 길러졌다. 모섬유를 얻기 위한 양은 이보다 늦은기원전 6000년 무렵 품종개량을 통해 길러지기 시작하였다. 이렇게 가축이 된 양은 고대 무역로를 따라 아프리카와 유럽으로 전파되었다.",0
9000 BC,돼지 가축화,"돼지 또는 집돼지(학명: Sus scrofa domesticus)는 가축화된 멧돼지(학명: Sus scrofa)를 말한다. 전 세계에서 약 8억 4천 마리가 사육되어 사람들의 중요한 영양원이 된다. 약 9,000년 전에 중국과 근동 지역에서 가축화되었다고 여겨진다. 돼지는 유럽과 아시아 전역에 걸쳐서 발견된다.",0
8000 BC,예리코 고대 도시,"구약성서에도 등장하는 예리코(Jericho, 여리고)는 요르단 강 서안에 있는 BC 8000년경부터 있었던 것으로 추정되는 세계에서 가장 오래된 도시 가운데 하나이다.",0
8000 BC,소 가축화,"소(牛)는 소속에 속한 초식동물로, 가축의 하나이며, 학명은 Bos taurus로 책정된다. 어린 개체는 송아지라 부르며, 소는 사람에게 개 다음으로 일찍부터 가축화되어 경제적 가치가 높아 세계 각지에서 사육되고 있다.",0
7500 BC,고양이 가축화,고양이는 식육목 고양이과에 속하는 포유류이다. 집고양이의 기원은 약 1만년 전 중동 지역에서 스스로 숲속을 나와 사람들이 모여사는 마을에 정착하여 길들여진 아프리카들고양이(학명: Felis lybica)로 추측된다.,0
7000 BC,차탈 후유크 고대 도시,"1958년 터키 아나톨리아 반도의 코니카 근처에서 제임스 메라트(James Melaart)가 신석기 시대의 유물을 발굴하기 시작하면서 차탈 후유크(Catal Huyuk, 차탈 휘이크, 카탈 후유크)는 인류가 만든 가장 오래된 도시 가운데 하나로서의 모습을 드러내게 된다.",0
6500 BC,우바이드 문화,"남부 이라크의 우르 부근의 우바이드 유적은, 선사시대 신석기시대부터 청동기시대까지에 걸쳐, 메소포타미아 남부 충적지에 최초로 정착한 사람들의 유적이다. 바퀴의 발명과 청동기시대의 시작은 우바이드 시대에 일어난 일이다.",6500 BC ~ 3800 BC
6200 BC,8200년전 기후변화 사건,8200년전 사건은 약 8200년전에 시작하여 200여 년 동안 지속되었던 지구의 한랭화를 말한다.,0
6200 BC,싱룽와 문화,"싱룽와 문화(흥륭와문화,興隆窪文化)는 기원전 6200년경에서 기원전 5400년경의 중국 만리장성 북방에 존재하는 신석기 시대의 문화이다. 그 출토 범위는 현재의 중화인민공화국 내몽고 자치구 부근에서 랴오닝성 부근에까지 걸쳐 있어 홍산 문화에 선행하는 랴오허 유역의 문명의 하나로 추정된다.",6200 BC ~ 5400 BC
6000 BC,닭 가축화,닭의 기원에 대해서는 분명치 않으나 기원전 6000-8000년 즈음 동남아시아 일대에 서식하던 야생 적색야계가 인간에 의해 가축화되어 지금의 닭이 되었다는 가설이 가장 유력하다. 서구권에서 닭은 원래 닭싸움이나 종교적인 의식을 위해 키웠으며 헬레니즘 시대가 지나고 나서야 비로소 식용으로 키우기 시작하였다.,0
5677 BC,마자마 화산폭발,"마자마 산은 미국 오리건 주에 있는 성층화산으로, 활화산이다. 크레이터 레이크 라고도 한다. 지금은 정상에 칼데라 호와 기생화산을 가지고 있다. 7,700여년 전, 이 화산이 폭발했는데, 1980년 세인트헬렌스 산의 화산폭발보다 42배 강력했었다고 한다.",0
5000 BC,당나귀 가축화,"당나귀(donkey 또는 ass)는 말과의 동물이다. 몸높이 1~1.6m, 몸무게 100~480kg 정도이다. 여러 가지 면에서 말과 유사하다. 체질은 강하며 거친 음식에 잘 견디고, 수분이 적고 냉혹한 지역에도 잘 적응한다. 질병에 대한 저항력이 강하고, 체격에 비해 힘이 세고 지구력이 강해 사역용·운반용으로 이용된다. 또한 말보다 느리고 안전한 동물로서 교통 수단으로 이용됐다.",0
5000 BC,양사오(仰韶) 문화,중국 황허(黃河) 중류 지역에서 기원전 5000년에서 기원전 3000년 무렵까지 존속했던 신석기 문화로서 채도(彩陶)를 특징으로 한다.,5000 BC ~ 3000 BC
4700 BC,훙산 문화,"훙산 문화는 중국 만리장성 북동부에 존재했던 신석기 시대의 문화이다. 연대는 기원전 4700년 ~ 기원전 2900년 경이며, 옌산 산맥의 북쪽 랴오허 지류의 서 랴오허 상류 부근에 널리 퍼져 있었다. 현재의 하베이성 북부에서 내몽골 자치구 동남부, 랴오닝 성 서부에 해당한다.",4700 BC ~ 2900 BC
4000 BC,수메르 우루크기,"수메르 상인들과, 이민자들에 의해서 우루크기의 문명은 모든 주변세력에게 영향을 미쳤고, 점차 주변세력들도 경제적으로나 문화적으로 비교될 만큼 성장하였다. 그러나 수메르의 도시들은 먼 거리의 식민지를 무력으로 제압할 만한 군사력은 갖추지 못했다.",4000 BC ~ 3100 BC
3900 BC,5900년전 기후변화 사건,"Bond events are North Atlantic ice rafting events that are tentatively linked to climate fluctuations in the Holocene. Eight such events have been identified. Bond events were previously believed to exhibit a roughly c.1,500-year cycle, but the primary period of variability is now put at c.1,000 years.",0
3500 BC,말의 가축화,말이 언제 어떻게 길들여졌는지는 논란의 여지가 있다. 말을 운송 수단으로 일찍 사용했다는 가장 분명한 증거는 기원전 2000년경. 그러나 점점 더 많은 증거가 말이 유라시아 대초원에서 약 기원전 3500년경에 길들여졌다는 가설을 뒷받침한다.,0
3500 BC,Yamna 문화,"The Yamna or Yamnaya culture, also called Pit Grave Culture and Ochre Grave Culture, was a late Copper Age/early Bronze Age culture of the Southern Bug/Dniester/Ural region (the Pontic steppe), dating to 3,500 ~ 2,300 BCE. The Yamna culture is identified with the late Proto Indo Europeans, and is the strongest candidate for the Urheimat (homeland) of the Proto Indo European language.",3500 BC ~ 2300 BC
3114/08/13 BC,마야 달력의 시작,"마야달력은 기원전인 3114년 8월 13일이 시작일이다. 마야에선 약 394년을 주기로 시간을 측정하는데, 이를 '박툰(baktun)'이라 한다. 마야력의 시작일로부터 13번째 끝나는 날이 바로 2012년 12월 21일이다.",0
3102/02/17 BC,칼리유가의 시작,고대 인도에서의 신화적 시대구분상 '말세(末世)'에 해당하는 주기.,0
3100 BC,젬데트 나스르 시기,수메르 도시국가시대 초기를 나타내는 문화기.,3100 BC ~ 2900 BC
3100 BC,"메네스,이집트 통일",고대 이집트의 전설은 메네스가 상하이집트를 통합하여 중앙 집권적인 왕조를 창건하였다고 전한다.,0
3100 BC,이집트 초기왕조 시대,"이집트,초기왕조 시대 (제1왕조, 제2왕조).",3100 BC ~ 2686 BC
3100 BC,인더스 강 유역에 계획도시 성장,인더스 강 유역에 계획도시 성장.,0
3000 BC,룽산(龍山) 문화,"룽산 문화(龍山文化, 기원 전 3000년경-기원 전 2000년경)는 중국 북부(화북)의 황하 중류에서 하류에 걸쳐 퍼져 있는 신석기 시대 후기의 문화를 말한다. 흑도가 발달하여 흑도 문화라고도 한다.",3000 BC ~ 2000 BC
3000 BC,초기 미노아 문명,초기 미노아 문명.,3000 BC ~ 2160 BC
2900 BC,수메르 초기왕조,수메르 초기왕조.,2900 BC ~ 2334 BC
2686 BC,이집트 고왕국,이집트 고왕국 시대 (제3왕조 ~ 제6왕조).,2686 BC ~ 2181 BC
2600 BC,모헨조다로 건설,"모헨조다로(Mohenjo-Daro)는 기원전 2600년경에 건설되었던 인더스 문명의 고대 도시로, 현재는 파키스탄 신드에 위치해있으며 유네스코 세계문화유산에 등재되어 있다.",0
2600 BC,하라파 건설,인더스 계곡 문명은 하라파 문화라 알려져 있기도 하며 그 초기의 근원은 기원전 6000년경 메르가르였다. 두 대도시 모헨조-다로와 하라파는 기원전 2600년경 펀잡과 신드 내의 인더스 강 계곡을 따라 부상하였다.,0
2560 BC,대피라미드,기자의 대 피라미드는 이집트 기자에 있는 피라미드 중 하나이다. 기원전 2560년 무렵 세워진 쿠푸의 피라미드로 완공에는 약 20년이 걸렸다. 피라미드 중 가장 큰 피라미드이기에 대 피라미드라고도 불린다. 바로 옆에 아들 및 손자 파라오의 피라미드가 있다. 파라오 3대의 피라미드가 있는 것이다. 가장 유명한 스핑크스가 기자의 피라미드 군 앞에 있다. 대 피라미드는 세계 7대 불가사의 중 현재까지 유일하게 남아 있다.,0
2500 BC,길가메시(?),"길가메시(Gilgamesh)는 고대 메소포타미아 수메르 왕조 초기 시대의 전설적인 왕으로 수많은 신화나 서사시에 등장하는 영웅이다. 이 왕이 실제로 존재했던 인물이었을 가능성이 있다. 그의 무훈담을 기록한 길가메시 서사시는 기원전 2000년대에 점토판에 적혀 있다. 오늘날에도 고대 메소포타미아의 영웅 가운데 가장 잘 알려진 이름으로, 수많은 픽션 작품에서 그의 이름을 차용하고 있다.",0
2333 BC,"단군,고조선 건국(?)","고조선은 남만주와 요동 일대에서 청동기문화를 바탕으로 성장해 온 환웅부족의 단군이 건설한 국가로 우리 나라의 시조이다. 단군신화에 따르면, 하늘나라의 왕 환인의 아들인 환웅과 웅녀가 결혼하여 낳은 아들이 단군왕검이며, 그가 고조선을 건립하였다고 한다.",0
2334 BC,아카드 제국,"아카드 제국(Akkadian Empire)은 수메르 북부의 고대 도시인 아카드를 중심으로 성장한 고대 제국으로, 사르곤(Sargon) 왕 치세에서 최고로 성장하였다.",2334 BC ~ 2193 BC
2334 BC,"아카드 제국,사르곤 통치",아카드의 사르곤은 수메르의 루갈작게시왕을 무찌르고 최초의 메소포타미아에 통일 왕국을 설립했다.,2334 BC ~ 2279 BC
2200 BC,4200년전 기후변화 사건,"기원전 2200년 경에 문명에 엄청난 타격을 주었다고 믿어지는 전지구적인 기후변화가 밝혀지고 있지만 그 원인에 대해서는 정확하게 아는 바는 없다. 거대한 화산 폭발, 소행성이나 혜성과의 충돌, 태양의 활동 변화 등이 설로 나오고 있다.",0
2181 BC,이집트 제1중간기,이집트 제1중간기(제7왕조 ~ 제11왕조). 이집트 고왕국이 쓰러지고 기원전 2080년에 중왕국의 제11왕조가 시작되기 전까지의 혼란기를 제1중간기라고 한다.,2181 BC ~ 2055 BC
2160 BC,중기 미노아 문명,중기 미노아 문명.,2160 BC ~ 1650 BC
2112 BC,우르 제3왕조,"사르곤왕조가 끝나자 수메르는 부흥하였으며, 이윽고 우르 제3왕조(BC 2113∼BC 2006?) 밑에서 번영을 되찾았다. 초대 우르남무는 시벽(市壁)을 재건하고 궁전과 월신(月神) 난나르를 위하여 웅대한 지구라트(聖塔)를 조영하였다. 역대 왕들은 주위에 신전을 건립하여 넓은 성역(聖域)을 만들었다.",2112 BC ~ 2004 BC
2070 BC,"중국, 하(夏)",하(夏)는 중국에서 처음으로 상(商)나라 이전 수백 년간 존재했다고 기록된 나라이다. 그 연대는 하상주단대공정에 의해 기원전 2070년경에서 기원전 1600년까지로 추정되었다.,2070 BC ~ 1600 BC
2040 BC,이집트 중왕국,"이집트,중왕국 시대 (제11왕조, 제12왕조).",2040 BC ~ 1782 BC
2004 BC,우르 제3왕조 멸망,"기원전 2004년 엘람인의 침입으로 우르 제3왕조가 멸망하고, 바빌로니아는 외세(外勢)인 아모리의 영향권 안으로 들어가게 된다.",0
2000 BC,말을 사용한 전차,말이 언제 어떻게 길들여졌는지는 논란의 여지가 있다. 말을 운송 수단으로 일찍 사용했다는 가장 분명한 증거는 기원전 2000년경이다.,0
1894 BC,고대 바빌로니아,"기원전 20세기경, 우르 제3 왕조에 의한 수메르의 부흥 이후에, 유프라테스 강 서쪽으로부터 온 솀어족의 아모리인이 메소포타미아 지방을 지배하게 된다. 이후 약 100년간은 메소포타미아 지방은 통일되지 않은 상태였고, 이신(Isin)이 가장 강력한 도시였으나, 아모리인의 도시인 바빌론을 중심으로 세력을 확장하기 시작하여 결국 첫 번째 바빌로니아 제국을 이루게 된다. 이후 약 300년간을 고대 바빌로니아로 분류한다.",1894 BC ~ 1595 BC
1792 BC,함무라비 재위,"도시 바빌론은 여섯 번째 통치자였던 함무라비왕 때에 메소포타미아 지역의 패권을 장악하였다. 그는 유능한 지도자로서, 법전을 편찬하여 지역을 안정적으로 통치하였다.",1792 BC ~ 1750 BC
1782 BC,이집트 제2중간기,이집트 제2중간기는 고대 이집트의 역사에서 중왕국 시대가 끝난 후 신왕국 시대가 열릴 때까지의 혼란기를 지칭하는 표현이다. 이 시기 동안 힉소스인이 침략하는 등의 사건들이 있었다.,1782 BC ~ 1570 BC
1720 BC,힉소스 하下이집트 정복,"힉소스, 하下이집트 정복.",1720 BC ~ 1575 BC
1650 BC,후기 미노아 문명,후기 미노아 문명.,1650 BC ~ 1450 BC
1626 BC,테라의 화산 폭발,"테라의 화산 폭발. 현재의 산토리니인 이 섬은 지구 역사상 거대한 화산으로 손꼽히는 지역이다. 약 3,600년 전 미노아 문명의 절정기에 미노아 화산 분출(혹은 테라 화산 분출)이 일어났다.",0
1600 BC,미케네 문명,"뮈케나이 문명 또는 미케네 문명은 그리스 남부 펠로폰네소스 반도에 있는 북동부 아르골리스의 미케네의 유적지에서 이름을 따온 고대 그리스의 문화를 일컫는다. 아테나이, 필로스, 테바이, 티린스도 미케네 문명의 주요 영역이다. 고대 그리스의 청동기 시대 말기는 호메로스의 서사시 등 고대 그리스의 문학과 신화가 탄생한 시기이다.",1600 BC ~ 1100 BC
1600 BC,히타이트,"소아시아 시리아 북부를 무대로 하여 BC 2000년기(年紀)에 활약했던 인도 유럽계의 민족, 그 언어 및 국가의 명칭.",1600 BC ~ 1178 BC
1600 BC,카시트,동북방의 산악지대로부터 메소포타미아로 침입한 인도 ∙ 유럽계 민족. 바빌론 제1왕조의 멸망 후 B.C. 1550년 무렵부터 약 400년간 메소포타미아를 지배함(바빌론 제3왕조).,1600 BC ~ 1155 BC
1600 BC,"중국, 상(商)",상(商)(기원전 1600년경 - 기원전 1046년)은 역사적으로 실재했다고 여겨지는 최초의 중국 왕조이다.,1600 BC ~ 1046 BC
1550 BC,모세의 출애굽(?),"출애굽기(出埃及記, 탈출기, 脫出記)는 구약성경의 두 번째 부분이다. 신이 모세를 통해 이집트에서 이스라엘 민족들을 가나안 땅으로 인도하는 내용이 담겨있다. 출애굽이라는 명칭은 '이집트에서 나옴'을 뜻한다.",0
1550 BC,이집트 신왕국,"이집트 신왕국은 때때로 이집트 제국이라고 불리며, 고대 이집트의 역사에서 기원전 16세기부터 기원전 11세기까지의 시기를 말하며 18왕조, 19왕조, 20왕조를 포함한다.",1550 BC ~ 1077 BC
1504 BC,"이집트, 투트모세 3세 재위",이집트 제18왕조 제6대 왕(재위 BC 1504∼BC 1450?). 아시아와 누비아에 여러 번 원정하며 광대한 영토와 방대한 전리품을 획득함으로써 크게 번영하였다. 탑문과 축제전 등을 건립하였고 오벨리스크를 세웠다.,1504 BC ~ 1450 BC
1500 BC,"아리아인 인도,이란에 유입","중앙아시아 방면에서 유목 생활을 하고 있었으나, 기원전 2000년경, 남방·서방에 이동하여, 어떤 무리는 인도에 들어가고(인도·아리아人), 어떤 무리는 이란 고원에 정착했다(이란人).",0
1290 BC,람세스 2세 재위(?),"그의 치세 동안 이집트는 리비아, 누비아, 팔레스타인까지 세력을 확장해 번영하였다. 그는 호전적인 히타이트와 전쟁에서 명성을 얻었는데, 그 후 그들과 평화롭게 되었다. 람세 2세, 라메세스 2세라고도 표기되었다. 람세스란 이름은 라에 의해 태어났다는 의미를 가진 '라 메스 시스'의 그리스어 음이다.",1290 BC ~ 1224 BC
1286 BC,카데시 전투,"람세스 2세 치세 전반기에는 히타이트와 팔레스타인을 사이에 두고 세력을 다투었다. 기원전 1286년 카데시 전투에서 직접 출정하여 히타이트 왕 무와탈리 2세와 전투를 벌였다. 이집트는 카데시 전투에서 거짓정보에 속은 결과, 주력 군단이 괴멸당할 정도의 고전을 면치 못했으나, 람세스 2세의 무용에 의해 승리를 거두었다. 하지만 히타이트 세력을 팔레스타인에서 몰아내지는 못했다.",0
1250 BC,트로이 전쟁,"미케아, 트로이와 전투.",0
1206 BC,청동기 시대의 붕괴,"청동기 시대의 붕괴(Bronze Age collapse) 또는 청동기 시대 붕괴기(1206~1150 BC)는 에게 해 지역(지금의 터키 서부), 서남아시아, 지중해 동부에서 일어난 청동기 시대 후기로부터 철기 시대 초기로의 전환 또는 그 시기를 가리킨다. 특히 이 전환이, 일군의 역사가들이 주장하는 바대로, 예상치 못한 때에 급작스럽게 발생했으며, 폭력적 양상으로 전개되었으며, 문명을 파괴하는 형태로 일어났다는 것을 가리키는 낱말이다.",1206 BC ~ 1150 BC
1175 BC,해양민족 이집트 침공,"바다 민족(Sea People) 또는 바다의 사람들(People of the Sea)은 청동기 시대 말기까지 남유럽, 특히 에게 해에서 출발하여 동 지중해를 거쳐 아나톨리아, 시리아, 가나안, 키프로스, 이집트를 침략한 해양 민족의 총칭이다.",0
1150 BC,올메카 문화(?),올메카 문명는 현재의 멕시코 베라크루즈 남부와 타바스코 지역에 발달했던 것으로서 특히 조각이 뛰어났다.,0
1100 BC,그리스 암흑기,그리스 암흑기(기원전 1100년경~ 기원전 800년경)는 도리아인의 침략이 있던 것으로 추정되는 시기부터 미케네 문명이 멸망하는 시기까지를 이르는 고대 그리스 역사상의 한 시대를 일컫는다. 이후 기원전 9세기경에 도시 국가가 형성되는 조짐이 나타난다.,1100 BC ~ 800 BC
1069 BC,이집트 제3중간기,"이집트 제3중간기(제21왕조 ~ 제25왕조). 이 기간의 이집트는 내부 분열과 외부 세력의 침입에 시달렸다. 테베의 아문 대사제단은 상이집트에서 독자적인 세력을 구축하였으며, 하이집트에서는 리비아인들이 세력을 구축하였다.",1069 BC ~ 665 BC
1046 BC,"중국, 주(周)","주(周)는 기원전 1046년 경부터 기원전 256년까지 상나라을 이어 중국에 존재했던 나라이다. 중국 역사에서 가장 오래 유지된 나라로, 이 시기에 철기 시대의 사용이 시작되었다.",1046 BC ~ 256 BC
911 BC,신新아시리아,"신 아시리아 제국 시대로 불리는 제 3기는 아슈르 단 2세(Ashur-dan II, BC 934~912 재위)하에서 아람인과 산악민족의 진압에 성공하면서 시작되었다. 그의 뒤를 이은 아다드 니라리 2세(Adad-Nirari II, BC 911~891 재위)는 정복 사업을 재개했으며, 전술, 농업 등의 개혁에 성공했다. 그의 손자인 아슈르 나시르 팔 2세(Ashur-nasir-pal II, BC 883~859 재위)도 팔레스타인, 이집트 지역까지 정복활동을 벌였다. 티글라트 필레세르 3세(Tiglath-Pileser III, BC 745–727 재위) 때에 이르면 아시리아의 세력은 정점에 달해 이집트의 제 25왕조를 위협할 정도였다.",911 BC ~ 612 BC
814 BC,"페니키아인, 카르타고 건설","로마인은 카르타고의 주민을 포에니(페니키아人)라 불렀으며, 창건연대에 대하여는 여러 설(說)이 있지만 대개 BC 814년경으로 추측된다.",0
800 BC,그리스 폴리스 성립,그리스 폴리스 성립.,0
776 BC,최초 올림픽,고대 올림픽(Ancient Olympic Games)은 기원전 776년 고대 그리스의 도시 국가인 엘리스에서 헤라클레스가 처음으로 개최했다는 설이 있다.,0
771 BC,동주東周 성립,"동주(東周)는 기원전 771년서주의 유왕이 견융의 침공으로 호경이 함락되고 피살되는 사건이 발생하였고 제후들이 평왕을 옹립하였고 평왕이 수도를 호경에서 낙읍으로 옮긴 이후의 주나라를 말한다. 동주 시대에는 주나라 왕실의 힘이 약화되고, 제후들이 주나라 왕실을 명목상으로만 남겨둔 채, 독립적인 활동을 하였다. 이 때가 춘추 전국 시대이다.",0
770 BC,"중국, 춘추시대","춘추시대(春秋時代)는 중국의 역사에서 기원전 770년에서 기원전 403년 사이의 시기를 말하며, 주나라의 동천 이후 진나라의 중국 통일까지의 시기를 부르는 춘추 전국시대의 전반기에 해당된다. 공자가 지은 《춘추》(春秋)에서 이 이름이 유래했다. 춘추시대와 전국시대와의 경계는 춘추시대에 열국의 강국 진(晋)이 조·위·한의 3국으로 분열되어 동주로부터 정식으로 승인받은 기원전 403년까지로 잡는 것이 보통이다. 그러나 진의 집정하에 있던 지백(知伯)을 멸망시키고 사실상 3국의 분립이 성공한 기원전 453년으로 올려 잡는 설도 있다.",770 BC ~ 403 BC
753 BC,로마 건국,"전설에 따르면, 로마는 기원전 753년 4월 21일, 고대 그리스의 영웅인 아이네아스의 후예이자 전쟁의 신 마르스의 쌍둥이 아들로 태어난 로물루스와 레무스 형제에 의해 테베레 강가에서 동쪽에 위치한 로마의 일곱 언덕 가운데 하나인 팔라티노 언덕 위에 건설되었다.",0
700 BC,스키타이 제국 건설,"스키타이족은 기원전 8~9세기경부터 동부 유럽에 와서 남부 러시아에 제국을 건설하였다. 이들은 서쪽으로 도나우 강, 동쪽으로 돈 강, 북쪽으로 드네프르 강과 부그 강의 상당한 지역까지 뻗쳐 있었다. 기원전 7세기경부터 남러시아와 우크라이나에서 드네프르 강에 이르기까지 퍼져 살았다.",0
685 BC,리디아,"리디아 (아시리아어 : 루두)는 서부 아나톨리아(소아시아) 역사상의 한 지방으로 터키의 현대 이즈미르 주, 마니사 주에 해당한다.",685 BC ~ 547 BC
678 BC,메디아,메디아는 현재의 이란 북서부에 있었던 고대 국가와 고대 이란인을 부르는 이름이다.,678 BC ~ 549 BC
664 BC,이집트 사이스 왕조,"명칭은 왕조의 수도 사이스에서 유래하며, 이집트의 쇠퇴기에 새로운 활력소를 불어넣었다. 특히 사이스의 태수, 즉 네코의 아들 프삼티크 1세는 아시리아의 아슈르 바니팔의 지배하에서 벗어나 나라의 통일을 실현하였다.",664 BC ~ 525 BC
626 BC,신新바빌로니아 시대,칼데아인(人)이 아시리아제국(帝國)을 멸망시키고 세운 왕국(BC 626∼BC 539).,626 BC ~ 539 BC
612 BC,아시리아 멸망,"셈계(系)의 유목민으로 바빌로니아 남부에 정주한 칼데아인은 차차 세력을 신장하여 곧 나보폴라사르가 바빌론을 수도로 정하였고, 그 후 메디아왕국과 연합하여 BC 612년 아시리아를 멸망시키고 신바빌로니아(칼데아제국)를 건국하였다.",0
600 BC,축의 시대(?),"부르크하르트(Jacob Burckhardt)는 “인류가 겉으로 또는 진짜로 공통의 맥박을 치는 듯이 보이는 시대가 이따금 있기는 했다.”라고 말하면서, 그 예로 기원전 500년 전후의 종교적, 철학적 운동을 언급했다. 야스퍼스(Karl Jaspers)도 기원전 800년부터 기원전 200년까지의 시대가 인류의 역사에 기축을 형성했다고 평가하고 1949년 ‘역사의 기원과 목표The Origin and Goal of History‘에서 기축시대의 문명(Axial-Age Civilization)이라는 개념을 제시했다.",600 BC ~ 401 BC
